"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"11/20/2024 1 a.m. EST",32195,18675,28448,22314,74919,68612,11202,43905,13828,20671,11405,14546,41481
US48,"11/20/2024 2 a.m. EST",31089,18112,27850,20937,73260,66815,10938,41792,13415,20087,11031,14059,39667
US48,"11/20/2024 3 a.m. EST",29551,17788,27565,20104,72518,65509,11184,39962,13140,19666,10685,13731,38731
US48,"11/20/2024 4 a.m. EST",28136,17663,27541,19692,72186,64927,11305,38724,13037,19434,10570,13533,38168
US48,"11/20/2024 5 a.m. EST",27381,18107,27722,19852,73427,65112,11635,38025,13231,19604,10561,13417,38097
US48,"11/20/2024 6 a.m. EST",26429,19303,28296,21205,76004,65993,11829,37853,14030,20324,10604,13574,38839
US48,"11/20/2024 7 a.m. EST",26182,21372,29642,23371,81730,69938,12980,39093,15456,21277,10823,14687,40813
US48,"11/20/2024 8 a.m. EST",26023,22254,31850,24712,85570,75297,13488,39773,16500,22406,11580,15840,43481
US48,"11/20/2024 9 a.m. EST",26549,22497,32952,26179,86462,77757,12735,42240,16746,22661,12633,16096,44412
US48,"11/20/2024 10 a.m. EST",28054,22802,32812,27756,86556,77926,11593,44735,16609,23021,12706,15911,44981
US48,"11/20/2024 11 a.m. EST",30422,23072,32224,29096,86119,77908,11098,45882,16048,23026,11705,16637,45102
US48,"11/20/2024 12 p.m. EST",32061,23119,31978,30111,86017,77630,10864,45664,15816,23155,10893,16728,45189
US48,"11/20/2024 1 p.m. EST",33303,23176,31741,31313,86513,77259,10907,45095,15861,23056,10288,16836,45087
US48,"11/20/2024 2 p.m. EST",33220,23182,31363,31679,86543,77263,11481,44302,16160,22936,9916,16732,45231
US48,"11/20/2024 3 p.m. EST",33451,23337,31147,31996,86381,77423,12500,43614,16559,22975,9845,16609,45645
US48,"11/20/2024 4 p.m. EST",33553,23254,30998,32375,86426,77384,13443,43589,17019,22844,9752,16510,45774
US48,"11/20/2024 5 p.m. EST",33928,23594,30862,32559,88608,77636,14267,43826,17740,23176,10079,16604,46055
US48,"11/20/2024 6 p.m. EST",33021,24582,31246,33243,92213,79985,14932,43550,18338,24089,10585,17207,46603
US48,"11/20/2024 7 p.m. EST",33462,25047,32525,33691,93012,82318,14763,44037,18092,24870,11186,18225,46387
US48,"11/20/2024 8 p.m. EST",31790,24397,33171,32698,91913,82611,14371,45975,17721,24492,12107,18417,47078
US48,"11/20/2024 9 p.m. EST",32512,24045,32935,31399,90395,81690,13774,46666,17087,24277,12330,18511,46964
US48,"11/20/2024 10 p.m. EST",33660,22966,32728,29632,87676,80273,12935,46374,16297,23569,12295,18189,46885
US48,"11/20/2024 11 p.m. EST",33258,21526,32104,27276,84923,78257,12066,45620,15339,22645,12141,17865,45892
US48,"11/21/2024 12 a.m. EST",32860,20503,31150,24659,82504,75660,11518,44245,14414,21614,11820,17144,43837
US48,"11/21/2024 1 a.m. EST",31886,19731,30144,22471,80005,74840,11513,42213,13754,21583,11288,16623,42206
US48,"11/21/2024 2 a.m. EST",30695,19456,29502,21006,78625,73049,11188,40417,13358,21107,10744,16430,40879
US48,"11/21/2024 3 a.m. EST",29245,19502,29212,19807,78136,73040,10997,38848,13128,20956,10412,16308,40406
US48,"11/21/2024 4 a.m. EST",27808,19859,29108,19235,78648,72898,10964,37656,13066,21034,10205,16398,40190
US48,"11/21/2024 5 a.m. EST",26862,20844,29250,19197,80394,73651,11235,36923,13288,21443,10167,16516,40401
US48,"11/21/2024 6 a.m. EST",26551,22819,29766,20273,83638,74757,11732,36796,14081,22444,10290,17052,41440
US48,"11/21/2024 7 a.m. EST",26071,25873,31155,22230,90300,79906,12762,37055,15567,24621,10693,18470,43831
US48,"11/21/2024 8 a.m. EST",25906,27251,33261,23216,95060,85136,13368,38534,16683,26156,11471,19818,47555
US48,"11/21/2024 9 a.m. EST",26369,26592,34302,23710,95293,86600,13685,41185,17093,25084,12525,19841,48362
US48,"11/21/2024 10 a.m. EST",27621,25353,33878,24178,94744,86228,13887,44015,17276,23835,12677,19331,48217
US48,"11/21/2024 11 a.m. EST",29911,24344,33109,24569,94812,85759,14015,45117,17414,23240,11818,18802,47149
US48,"11/21/2024 12 p.m. EST",31461,23521,32547,25001,56260,85123,13998,45118,17479,22525,11044,18798,46315
US48,"11/21/2024 1 p.m. EST",32309,23299,31962,25529,95482,84569,14134,44543,17497,21902,10394,18564,45564
US48,"11/21/2024 2 p.m. EST",32357,23335,31551,25854,96126,83903,14305,43619,17686,21659,10067,18583,45230
US48,"11/21/2024 3 p.m. EST",32599,23340,31339,26193,96015,83631,14296,42849,17791,21389,10025,18330,45591
US48,"11/21/2024 4 p.m. EST",32453,23702,30996,26580,96266,83346,14495,42996,18010,21588,10098,18162,45931
US48,"11/21/2024 5 p.m. EST",32205,24403,30887,26833,98982,84112,15027,42736,18592,22942,10424,18464,46209
US48,"11/21/2024 6 p.m. EST",32397,26214,31329,27338,102522,86419,15306,42374,19021,24818,10814,19327,46835
US48,"11/21/2024 7 p.m. EST",32977,27231,32512,27994,102674,88452,15044,43264,18807,26235,11244,20291,47125
US48,"11/21/2024 8 p.m. EST",31522,27430,33055,27225,101681,88587,14622,45133,18411,26554,12104,20453,47850
US48,"11/21/2024 9 p.m. EST",32219,27077,32943,26134,100194,87500,14061,45898,17869,26521,12285,20533,47413
US48,"11/21/2024 10 p.m. EST",33268,26523,32682,24595,97242,85530,13511,45374,17100,26030,12189,20304,47067
US48,"11/21/2024 11 p.m. EST",33006,25504,31999,22659,93261,82328,12604,44558,16121,25230,12073,19652,46312
US48,"11/22/2024 12 a.m. EST",32290,24597,30999,20611,89656,79539,11844,43271,15238,24265,11725,18982,44691
US48,"11/22/2024 1 a.m. EST",31303,24047,30128,19118,84962,6981,11315,41325,14622,23775,11194,18378,42920
US48,"11/22/2024 2 a.m. EST",30276,23852,29571,18169,84962,6761,11010,39483,14203,23329,10695,18060,42943
US48,"11/22/2024 3 a.m. EST",28946,23943,29345,17689,84962,6554,10980,37872,13892,23082,10368,17831,42278
US48,"11/22/2024 4 a.m. EST",26639,24406,29303,17574,84962,6598,11257,36861,13797,23276,10173,17797,40974
US48,"11/22/2024 5 a.m. EST",25719,25442,29477,18032,84962,6717,11364,36255,14025,23918,10117,17741,41098
US48,"11/22/2024 6 a.m. EST",24971,27284,30086,19606,84962,6915,11674,36229,14775,25142,10174,18188,41901
US48,"11/22/2024 7 a.m. EST",24776,29750,31306,22189,84962,7369,12677,36440,16098,27239,10510,19293,44105
US48,"11/22/2024 8 a.m. EST",25327,30530,33210,23809,84962,7792,13478,37673,17156,28844,11263,20299,47264
US48,"11/22/2024 9 a.m. EST",26796,29862,34394,24427,84962,7852,13304,40282,17713,28750,12269,20569,48372
US48,"11/22/2024 10 a.m. EST",29020,28490,34042,24396,84962,7830,12745,42659,18081,28215,12488,20269,48480
US48,"11/22/2024 11 a.m. EST",30141,27326,33213,24113,84962,7642,12329,43722,18318,27521,11816,19840,47673
US48,"11/22/2024 12 p.m. EST",29808,26412,32510,23830,84962,7432,12114,43511,18428,26549,10961,19526,46688
US48,"11/22/2024 1 p.m. EST",29074,25606,31870,23734,84962,7278,12186,42815,18333,25690,10305,19110,46231
US48,"11/22/2024 2 p.m. EST",28391,25159,31205,23787,84962,7225,12614,42161,18236,25086,9960,18665,46112
US48,"11/22/2024 3 p.m. EST",26180,24615,30761,24064,84962,6484,13122,37785,18266,24638,9845,18446,46430
US48,"11/22/2024 4 p.m. EST",27905,23850,30899,24502,96429,2403,13750,33663,17274,25534,9960,18201,46699
